ID,Father,Died_AD,Era,Source_Work,Source_Ref,Quote_Text,Topic,Subtopics,Position,Book,Section,Notes
FC035,Walfridus Strabo,c.808-849,Medieval,De Rebus Ecclesiasticis,ch. 25,We must know that there passed many ages after the revelation of the gospel before these hours were ordained to be the solemnities of certain hours in the day and night as they are now.,Church Practice,Canonical Hours,Reformed,Forged Catholicism,Canonical Hours,"Hours are medieval, not apostolic."
FC036,Epiphanius,c.315-403,Greek Patristic,Haereses,Haer. 79,"[Epiphanius gives a venerable respect unto Mary, but denies her both adoration and invocation.]",Invocation of Saints,Saint & Idol Worship,Reformed,Forged Catholicism,Intercession/Invocation,Epiphanius denies adoration and invocation of Mary.
FC037,Ambrose,c.339-397,Latin Patristic,Commentary on Romans,ch. 1,He thinks them fools that do adore and worship their fellow servants.,Invocation of Saints,Saint & Idol Worship,Reformed,Forged Catholicism,Intercession/Invocation,Ambrose condemns worship of fellow servants.
FC038,Basil of Caesarea,c.330-379,Greek Patristic,In Psalmum 7,,"As it is meet and fit we should worship nothing but God, so ought we not to fasten our hopes upon any but upon God.",Invocation of Saints,Saint & Idol Worship,Reformed,Forged Catholicism,Intercession/Invocation,Basil: hope and worship for God alone.
FC039,Jerome,c.347-420,Latin Patristic,Epistola ad Riparium,,"We do not worship nor adore, I do not say, the relics of the martyrs, but neither the sun nor the moon, no, nor the angels, lest we should be thought to serve the creature rather than the Creator.",Invocation of Saints,Saint & Idol Worship,Reformed,Forged Catholicism,Intercession/Invocation,Jerome denies adoration of relics.
FC040,Cyril of Alexandria,c.376-444,Greek Patristic,Contra Julianum,bk. 6,"We neither affirm that the martyrs are gods, neither have we accustomed ourselves to adore them.",Invocation of Saints,Saint & Idol Worship,Reformed,Forged Catholicism,Intercession/Invocation,Cyril denies martyrs are gods or to be adored.
FC041,Chrysostom,c.347-407,Greek Patristic,De Profectu Evangelii,,"You need not any patron before God, nor with long discourse to curry favor with others, but though you do come alone without ever a patron, and offer your prayers unto God by yourself, yet shall you obtain your petition. For God does not consent unto our request so easily when others pray for us, as when we pray for ourselves.",Invocation of Saints,Saint & Idol Worship,Reformed,Forged Catholicism,Intercession/Invocation,Direct prayer to God preferred over saintly intercession.
FC042,Augustine,354-430,Latin Patristic,De Vera Religione,ch. 55,"Let not our religion be to worship the dead. We are to honor them for imitation's sake, but not to worship them for religion's sake.",Invocation of Saints,Saint & Idol Worship,Reformed,Forged Catholicism,Intercession/Invocation,Distinction between honor and religious worship.
FC043,Augustine,354-430,Latin Patristic,De Civitate Dei,"bk. 22, ch. 10","We do not build temples unto our martyrs, as unto gods, but we set up memorials for them, as for men departed, whose souls do live in rest with God. Nor do we set up any altars to sacrifice unto them, but we offer our sacrifice unto one only God, both theirs and ours. At which sacrifice they are named in their order as men of God, who have conquered the world by confessing of Him, but they are not invocated of the priest that sacrifices.",Invocation of Saints,Saint & Idol Worship,Reformed,Forged Catholicism,Intercession/Invocation,Memorials vs. worship; saints not invocated.
FC044,Theodoret,c.393-458,Greek Patristic,In Colossenses,ch. 2,"Those that defended the law drew on the people unto the worship of angels also, saying that the law was given by them. And this vice remained very long in Phrygia and Pisidia, wherefore the synod which met at Laodicea, the metropolitan city of Phrygia, did by a decree prohibit all men from praying unto angels.",Invocation of Saints,Saint & Idol Worship|Sola Deo Gloria,Reformed,Forged Catholicism,Intercession/Invocation,"Laodicea condemned angel-prayer — by analogy, saint invocation."
FC045,Cyril of Jerusalem,c.313-386,Greek Patristic,Catecheses,Catech. 5,"When we offer this sacrifice, we make mention of them that are departed before us, that God may receive our prayers by their intercession.",Invocation of Saints,Commemoration vs. Invocation,Roman Catholic,Forged Catholicism,Intercession/Invocation,"Perkins: this is commemoration / petition to God, not direct invocation of saints."
FC046,Augustine,354-430,Latin Patristic,In Ioannem,Tract. 84,"At the communion, we mention not them as we do the others that rest in peace, or that we should pray for them, but rather that they may pray for us.",Invocation of Saints,Commemoration vs. Invocation,Reformed,Forged Catholicism,Intercession/Invocation,Augustine: commemoration at communion is not prayer to saints.
FC047,Theophilact,c.1055-1107,Byzantine,In Matthaeum,ch. 15,"Although the saints do pray for us, yet shall we be sooner heard when we pray for ourselves.",Invocation of Saints,Saint & Idol Worship,Reformed,Forged Catholicism,Intercession/Invocation,Direct prayer surpasses saintly intercession.
FC048,Irenaeus,c.130-202,Greek Patristic,Adversus Haereses,"bk. 5, in fine","[The souls of the faithful are reserved in secret habitacles out of heaven, not enjoying the sight of God until the last judgment.]",Purgatory & Afterlife,Purgatory,Reformed,Forged Catholicism,Prayers for the Dead,No immediate beatific vision.
FC049,Justin Martyr,c.100-165,Greek Patristic,Quaestiones,Quest. 60 & 76,"[Souls of the faithful reserved in secret places out of heaven, not enjoying sight of God until last judgment.]",Purgatory & Afterlife,Purgatory,Reformed,Forged Catholicism,Prayers for the Dead,Pre-resurrection state.
FC050,Origen,c.185-253,Greek Patristic,In Leviticum,"Hom. 7; lib. 2, Periarch.",[Souls reserved in habitacles out of heaven until last judgment.],Purgatory & Afterlife,Purgatory,Reformed,Forged Catholicism,Prayers for the Dead,Origen on intermediate state.
FC051,Chrysostom,c.347-407,Greek Patristic,In 1 Corinthians,Hom. 39; In Hebraeos Hom. 18,[Souls reserved in habitacles out of heaven until last judgment.],Purgatory & Afterlife,Purgatory,Reformed,Forged Catholicism,Prayers for the Dead,Chrysostom on intermediate state.
FC052,Lactantius,c.250-325,Latin Patristic,De Divino Praemio,"bk. 7, ch. 21",The souls of the dead were kept all in one common receptacle out of heaven until the resurrection.,Purgatory & Afterlife,Purgatory,Reformed,Forged Catholicism,Prayers for the Dead,Clear statement on intermediate state.
FC053,Tertullian,c.220,Latin Patristic,De Anima,ch. 55,"Every soul is sequestered in the lower places, until the judgment day.",Purgatory & Afterlife,Purgatory,Reformed,Forged Catholicism,Prayers for the Dead,Intermediate state in lower places.
FC054,Augustine,354-430,Latin Patristic,Epistolae,Ep. 99,"Abraham's bosom, that is, the habitation of secret rest, is not to be held any part of hell.",Purgatory & Afterlife,Purgatory,Reformed,Forged Catholicism,Prayers for the Dead,Augustine denies Limbus Patrum is part of hell.
FC055,Augustine,354-430,Latin Patristic,De Remissione Peccatorum,"bk. 1, ch. 28","There is no middle place for any man to be, but with the devil, that is, not with Christ.",Purgatory & Afterlife,Purgatory,Reformed,Forged Catholicism,Prayers for the Dead,No middle place between heaven and hell.
FC056,Tertullian,c.220,Latin Patristic,Adversus Marcionem,"bk. 4, ch. 51","Hell is one place, as I think, and Abraham's bosom another. And I call that region Abraham's bosom which, if it be not heavenly, yet is higher than hell, giving rest unto the souls of the righteous until the consummation of all things terminates their resurrection, with fullness of reward.",Purgatory & Afterlife,Purgatory,Reformed,Forged Catholicism,Prayers for the Dead,Tertullian's intermediate state theology.
FC057,Clement of Alexandria,c.150-215,Greek Patristic,Stromata,bk. 6,"Christ descended into hell for no other cause but to preach the gospel to the Gentiles, that they might learn the true faith and be saved, or justly be condemned for ever.",Christology,Purgatory,Nuanced,Forged Catholicism,Descension into Hell,Clement's descent doctrine — considered heretical by some.
FC058,Augustine,354-430,Latin Patristic,De Civitate Dei,"bk. 20, ch. 15","I think it no absurdity to believe that the saints of old that expected Christ in faith were in habitacles far distant from the torments of the wicked, but yet that they were in hell until that Christ's blood and descending thither set them free.",Christology,Purgatory,Reformed,Forged Catholicism,Descension into Hell,Augustine on Christ freeing OT saints.
FC059,Origen,c.185-253,Greek Patristic,In Lucam,Hom. 14,"I think that after the resurrection from the dead, we shall all need a purging, and purifying sacrament, for none can arise again without some stains.",Purgatory & Afterlife,Purgatory,Roman Catholic,Forged Catholicism,Purgatory,"Origen places purification at resurrection, not between death and judgment."
FC060,Ambrose,c.339-397,Latin Patristic,In Psalmum 118,Serm. 3,"After the end of the world, this shall be the future baptism, when iniquity shall be burned away by the furnace, that the just may shine as the sun in the kingdom of God.",Purgatory & Afterlife,Purgatory,Roman Catholic,Forged Catholicism,Purgatory,"Ambrose places fire at end of world, not between death and judgment."
FC061,Origen,c.185-253,Greek Patristic,In Exodum,Hom. 6,"All must come to the fire, all must come to this furnace.",Purgatory & Afterlife,Purgatory,Roman Catholic,Forged Catholicism,Purgatory,Origen's universal purification — undercuts Roman purgatory.
FC062,Bede,c.673-735,Medieval,In Psalmum 37,,"Some commit greater venial sins, and some lesser, and therefore it is meet to have them put into the fire of purgatory, now in the space between this and the judgment.",Purgatory & Afterlife,Purgatory,Roman Catholic,Forged Catholicism,Purgatory,Bede — one of the clearest pro-purgatory patristic witnesses.
FC063,Gregory the Great,c.540-604,Latin Patristic,Moralia in Job,"bk. 13, ch. 20","Because we are redeemed by the grace of our Creator, we have this heavenly gift bestowed upon us, that when we leave our carnal habitation, immediately we are carried unto our heavenly rewards, because seeing that our Maker and Redeemer breaking up the gates of hell, took thence all the souls of the elect, surely He suffers not us to go thither from whence He brought all the rest in His descension.",Purgatory & Afterlife,Purgatory,Reformed,Forged Catholicism,Purgatory,Gregory's authentic works undermine his Dialogues on purgatory.
FC064,Maximus of Turin,c.380-465,Latin Patristic,In Natalem Martyrum Tauricorum,,"All the saints are everywhere, and assist all men, and are always with us, and stay still with us, that is, do both keep and defend us while we are in our bodies, and also do receive and entertain us when we leave our bodies.",Invocation of Saints,Uncertainty of Intercession,Roman Catholic,Forged Catholicism,Intercession/Invocation,Perkins: 'boldly affirmed and weakly concluded.' Used ubique for passim.
FC065,Nazianzene (Gregory of Nazianzus),c.329-390,Greek Patristic,Invectiva I in Julianum,,"Hear also, O you soul of great Constantine, if you have any sense, perceivance, or understanding.",Invocation of Saints,Invocation & Intercession,Nuanced,Forged Catholicism,Intercession/Invocation,"Perkins: rhetorical apostrophe (prosopopoeia), not true invocation."
FC066,Jerome,c.347-420,Latin Patristic,Epitaphium Paulae,,"Farewell, O Paula, and by your prayers help the decrepit age of him that honors you.",Invocation of Saints,Invocation & Intercession,Nuanced,Forged Catholicism,Intercession/Invocation,"Perkins: apostrophe as if present, not actual invocation."
FC067,Nyssenus (Gregory of Nyssa),c.335-395,Greek Patristic,Oratio in S. Theodorum,,"Those that behold do embrace, as though the body were living and flourishing, using the eyes, ears, mouth, and instruments of all the senses. And the pouring out the tears of love and duty unto the martyr, as though he were living and present, they offer up their humble prayers unto him, to be an intercessor for them, entreating him as a soldier of God.",Invocation of Saints,Invocation & Intercession,Roman Catholic,Forged Catholicism,Intercession/Invocation,Perkins acknowledges Gregory errs here; patristic evidence of error.
FC068,Chrysostom,c.347-407,Greek Patristic,Oratio in Babylam,,"If any man do but stand by these sepulchers, the very sight of the coffin invading his soul penetrates it, and stirs it up, moving therein such an affect that he deems them that lie therein buried, to be visibly present with him, and offering their prayers together with him.",Invocation of Saints,Invocation & Intercession,Roman Catholic,Forged Catholicism,Intercession/Invocation,Chrysostom's popular affective language misused to support invocation.
FC069,Jerome,c.347-420,Latin Patristic,Contra Vigilantium,ch. 2,"You do affirm that the souls of the apostles and martyrs are placed either in Abraham's bosom, or the place of repose, or under God's altar, and that they cannot be present at their tombs and where themselves please. If the Lamb be everywhere, then those that are with the Lamb must be believed to be everywhere.",Invocation of Saints,Uncertainty of Intercession,Roman Catholic,Forged Catholicism,Intercession/Invocation,Jerome argues martyrs are everywhere — Perkins says 'boldly affirmed.'
FC070,Augustine,354-430,Latin Patristic,De Cura pro Mortuis Gerenda,ch. 13,"[Augustine proves by Scripture, namely out of Isaiah 63:16, that the saints know not what is done here below.]",Invocation of Saints,Uncertainty of Intercession,Reformed,Forged Catholicism,Intercession/Invocation,Saints do not know what occurs on earth.
FC071,Augustine,354-430,Latin Patristic,De Cura pro Mortuis Gerenda,ch. 16,"[Augustine] leaves it undetermined whether the dead martyrs do help us or no, and adds that these things pass our understanding.",Invocation of Saints,Uncertainty of Intercession,Reformed,Forged Catholicism,Intercession/Invocation,Augustine's agnosticism on saint intercession.
FC072,Leo the Great,c.400-461,Latin Patristic,"Sermo 1, de Nativitate Petri et Pauli",ch. 7,"Look how much our own sins do cast us down, so much the apostles' merits do raise us up.",Invocation of Saints,Merits of Saints,Roman Catholic,Forged Catholicism,Intercession/Invocation,Perkins cites as patristic error — post-400 corruption.
FC073,Paulinus of Nola,c.354-431,Latin Patristic,Carmina Natalicia,Natal. 3,Obtain that God would pardon us our sin by thy just prayers and merits.,Invocation of Saints,Saint & Idol Worship,Roman Catholic,Forged Catholicism,Intercession/Invocation,Cited as evidence fathers erred in invocation.
FC074,Cyril of Jerusalem,c.313-386,Greek Patristic,Catecheses,Catech. 5,"[Cyril in his Thesaurus lib. 2, cap. 1:] There is no man that knows not that the Scriptures deny adoration unto every created nature and allow that to God only.",Invocation of Saints,Saint & Idol Worship|Sola Deo Gloria,Reformed,Forged Catholicism,Intercession/Invocation,God alone receives adoration.
FC075,Gregory the Great,c.540-604,Latin Patristic,Epistolae,"Registrum bk. 6, Ep. 194","I confidently affirm that whosoever calls himself, or is willing to be called universal priest or bishop, in this loftiness and pride of his, he is the forerunner of Antichrist.",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Gregory condemns the title 'universal bishop.'
FC076,Gregory the Great,c.540-604,Latin Patristic,Epistolae,"bk. 7, Ep. 30","This word of commanding, or command, I pray you take it away, let me hear no more of it; for I know who I am, and who you are. For by your places you are my brethren, in virtues and good examples, my fathers. I have therefore commanded nothing, but I have labored to show what in my opinion is most profitable or convenient.",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Gregory disclaims jurisdictional command.
FC077,Chrysostom,c.347-407,Greek Patristic,In Acta Apostolorum,Hom. 3,"[No primacy of power, dominion, jurisdiction, or authority in first 600 years.]",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Chrysostom cited against papal jurisdiction.
FC078,Cyprian,c.200-258,Latin Patristic,De Simplicitate Praelaturum,,"The rest of the apostles were even the very same that Peter was, partakers of the same fellowship with him, both of honor and power.",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Apostles equal to Peter in honor and power.
FC079,Jerome,c.347-420,Latin Patristic,Contra Iovinianum,"bk. 1, ch. 14","The church was built upon all the apostles, and every one of them received the keys of the kingdom of heaven, and the strength of the church was founded on them all equally, yet that among the twelve one was chosen, that a head or chief being appointed, the occasion of schism might be taken away.",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,"Church built on all apostles, not Peter alone."
FC080,Cyril of Alexandria,c.376-444,Greek Patristic,In Ioannem,"bk. 3, ch. 20",God gave the apostles and their successors full and plenary power in the church.,Papacy & Church Governance,Apostolic Power,Reformed,Forged Catholicism,Primacy of Rome,Power distributed to all apostles.
FC081,Cyprian,c.200-258,Latin Patristic,Epistolae,Ep. 27 ad Lapsos,"The church was constituted upon bishops, and not upon Peter only.",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,"Church built on episcopate, not Peter uniquely."
FC082,Nazianzene (Gregory of Nazianzus),c.329-390,Greek Patristic,De Moderandis Disputationibus,,"Peter is called a rock, and has the foundations of the church committed to his trust.",Papacy & Church Governance,Papal Supremacy,Roman Catholic,Forged Catholicism,Primacy of Rome,"Perkins uses Ambrose to qualify this as referring to faith, not jurisdiction."
FC083,Ambrose,c.339-397,Latin Patristic,Sermo 47,,"Peter is called a rock, for that he first laid the foundation of faith in the nations.",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,"Peter's rock = his foundational preaching of faith, not jurisdiction."
FC084,Tertullian,c.220,Latin Patristic,Adversus Marcionem,"bk. 4, ch. 13","[The rock in Matthew 16 is Christ, not Peter.]",Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Rock = Christ.
FC085,Hilary of Poitiers,c.315-368,Latin Patristic,De Trinitate,bk. 2,[The rock in Matthew 16 is Christ.],Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Rock = Christ.
FC086,Chrysostom,c.347-407,Greek Patristic,Homilia de Cruce Christi,,[The rock in Matthew 16 is Christ.],Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Rock = Christ.
FC087,Ambrose,c.339-397,Latin Patristic,Sermo 84,,[The rock in Matthew 16 is Christ.],Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Rock = Christ.
FC088,Jerome,c.347-420,Latin Patristic,In Matthaeum,"bk. 1, ch. 7",[The rock in Matthew 16 is Christ.],Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Rock = Christ.
FC089,Augustine,354-430,Latin Patristic,Retractationes,"bk. 1, ch. 21",[That Peter himself was the rock seemed to Augustine after good deliberation so harsh a speech that he recanted it in his retractions.],Papacy & Church Governance,Papal Supremacy,Reformed,Forged Catholicism,Primacy of Rome,Augustine retracts his interpretation of Peter as rock.
